"Date","Open","High","Low","Close"
"8/26/2008","4335.200195","4345.049805","4283.299805","4337.5"
"8/27/2008","4336.850098","4364.25","4282.649902","4292.100098"
"8/28/2008","4290.75","4304.5","4201.850098","4214"
"8/29/2008","4230.600098","4368.799805","4230.600098","4360"
"9/1/2008","4356.100098","4365","4281.350098","4348.649902"
"9/2/2008","4358.850098","4522.399902","4343.100098","4504"
"9/4/2008","4512.950195","4514.600098","4419.450195","4447.75"
"9/5/2008","4444.700195","4444.700195","4328.899902","4352.299805"
"9/8/2008","4358.299805","4558","4358.299805","4482.299805"
"9/9/2008","4485.149902","4497.5","4418.950195","4468.700195"
"9/10/2008","4467.5","4467.5","4382.350098","4400.25"
"9/11/2008","4397.25","4399.299805","4272.75","4290.299805"
"9/12/2008","4291.600098","4323.899902","4200.149902","4228.450195"
"9/15/2008","4231.950195","4237.25","3955.399902","4072.899902"
"9/16/2008","4072.550049","4090.100098","3919.350098","4074.899902"
"9/17/2008","4074.800049","4116.700195","3974.600098","4008.25"
"9/18/2008","4005.25","4050.100098","3799.550049","4038.149902"
"9/19/2008","4040.800049","4262.649902","4040.800049","4245.25"
"9/22/2008","4248.950195","4303.25","4202.399902","4223.049805"
"9/23/2008","4223.899902","4224.700195","4117.899902","4126.899902"
"9/24/2008","4125.75","4207.950195","4115.850098","4161.25"
"9/25/2008","4162.149902","4172.600098","4077.5","4110.549805"
"9/26/2008","4108.75","4110.700195","3970.350098","3985.25"
"9/29/2008","3990.199951","3997.550049","3777.300049","3850.050049"
"9/30/2008","3848.699951","3966.850098","3715.050049","3921.199951"
"10/1/2008","3921.850098","4000.5","3861.25","3950.75"
"10/3/2008","3953.550049","3969.550049","3804.850098","3818.300049"
"10/6/2008","3817.300049","3820.850098","3581.600098","3602.350098"
"10/7/2008","3606.949951","3732.649902","3537","3606.600098"
"10/8/2008","3604.399902","3604.399902","3329.449951","3513.649902"
"10/10/2008","3502.050049","3502.050049","3198.949951","3279.949951"
"10/13/2008","3272.899902","3510.199951","3272.899902","3490.699951"
"10/14/2008","3494.100098","3648.25","3491.5","3518.649902"
"10/15/2008","3517.899902","3518.5","3324.550049","3338.399902"
"10/16/2008","3333.850098","3333.850098","3099.899902","3269.300049"
"10/17/2008","3269.050049","3335.949951","3046.600098","3074.350098"
"10/20/2008","3108.199951","3238.399902","3058.949951","3122.800049"
"10/21/2008","3125.399902","3254.850098","3117.350098","3234.899902"
"10/22/2008","3234.699951","3235.75","3051.800049","3065.149902"
"10/23/2008","3064.800049","3085.100098","2917.149902","2943.149902"
"10/24/2008","2936.25","2936.25","2525.050049","2584"
"10/27/2008","2583.75","2585.300049","2252.75","2524.199951"
"10/29/2008","2685.300049","2781.25","2631.899902","2697.050049"
"10/31/2008","2696.300049","2921.350098","2696.300049","2885.600098"
"11/3/2008","2885.399902","3062.050049","2885.399902","3043.850098"
"11/4/2008","3050.25","3152.300049","2985","3142.100098"
"11/5/2008","3155.75","3240.550049","2971","2994.949951"
"11/6/2008","2998.449951","3007.800049","2860.25","2892.649902"
"11/7/2008","2893.25","3010","2860.100098","2973"
"11/10/2008","2973.300049","3161.25","2973.300049","3148.25"
"11/11/2008","3147.199951","3147.199951","2919.449951","2938.649902"
"11/12/2008","2937.899902","2975.199951","2794.949951","2848.449951"
"11/14/2008","2848","2938.800049","2778.800049","2810.350098"
"11/17/2008","2813.399902","2835.699951","2694.5","2799.550049"
"11/18/2008","2802.449951","2802.449951","2664.300049","2683.149902"
"11/19/2008","2682.75","2772.399902","2617.899902","2635"
"11/20/2008","2634.199951","2634.199951","2502.899902","2553.149902"
"11/21/2008","2553.600098","2718.600098","2539.800049","2693.449951"
"11/24/2008","2690.850098","2740.350098","2633.800049","2708.25"
"11/25/2008","2708.300049","2790.699951","2638.199951","2654"
"11/26/2008","2652.449951","2762.600098","2643.350098","2752.25"
"11/27/2008","null","null","null","null"
"11/28/2008","2745.699951","2779","2690.300049","2755.100098"
"12/1/2008","2755.149902","2832.850098","2669.5","2682.899902"
"12/2/2008","2672.899902","2672.899902","2570.699951","2657.800049"
"12/3/2008","2657.5","2693.649902","2611.949951","2656.449951"
"12/4/2008","2656.5","2793.800049","2646.350098","2788"
"12/5/2008","2786.649902","2821.149902","2701.350098","2714.399902"
"12/8/2008","2714.699951","2861.550049","2714.699951","2784"
"12/10/2008","2785.699951","2940.149902","2785.699951","2928.25"
"12/11/2008","2934.050049","2945.300049","2861.550049","2920.149902"
"12/12/2008","2915.350098","2936.800049","2812.550049","2921.350098"
"12/15/2008","2917.899902","3012.100098","2917.899902","2981.199951"
"12/16/2008","2983.600098","3052.550049","2963.300049","3041.75"
"12/17/2008","3040.449951","3076.199951","2943.5","2954.350098"
"12/18/2008","2955.350098","3072.550049","2922.649902","3060.75"
"12/19/2008","3063","3106.800049","3036.300049","3077.5"
"12/22/2008","3077.25","3110.449951","3027.800049","3039.300049"
"12/23/2008","3039.25","3040","2957.050049","2968.649902"
"12/24/2008","2967.399902","2968","2900.449951","2916.850098"
"12/26/2008","2919.850098","2960.949951","2844.800049","2857.25"
"12/29/2008","2857.149902","2931.800049","2812.899902","2922.199951"
"12/30/2008","2922.550049","2999.149902","2899.75","2979.5"
"12/31/2008","2979.800049","3002.649902","2937.350098","2959.149902"
"1/2/2009","3034.600098","3079.850098","3021.800049","3046.75"
"1/5/2009","3058.75","3131.949951","3056.449951","3121.449951"
"1/6/2009","3121.5","3141.800049","3056.100098","3112.800049"
"1/7/2009","3112.800049","3147.199951","2888.199951","2920.399902"
"1/9/2009","2919.949951","2929.850098","2810.25","2873"
"1/12/2009","2868.850098","2869.199951","2748.550049","2773.100098"
"1/13/2009","2775","2802.600098","2720.800049","2744.949951"
"1/14/2009","2748.399902","2853.25","2748.399902","2835.300049"
"1/15/2009","2832.300049","2832.300049","2701.75","2736.699951"
"1/16/2009","2737","2835.649902","2724.199951","2828.449951"
"1/19/2009","2828.699951","2868.199951","2819.899902","2846.199951"
"1/20/2009","2842.899902","2842.899902","2758","2796.600098"
"1/21/2009","2777.399902","2787.300049","2690.199951","2706.149902"
